model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,ranking_score
XGBoost,0.9933,0.0007,0.9933,0.0007,0.9933,0.0007,0.9932,0.0007,0.9866,0.0014,0.9997,0.0001,0.993,0.0014,0.9946,0.0012,0.8939
LightGBM,0.9931,0.001,0.9931,0.001,0.9931,0.001,0.993,0.001,0.9861,0.0021,0.9997,0.0002,0.9934,0.0012,0.9938,0.001,0.8937
CatBoost,0.992,0.0014,0.9919,0.0014,0.992,0.0014,0.9919,0.0015,0.9839,0.0029,0.9995,0.0003,0.9924,0.0019,0.9927,0.0011,0.8926
GradientBoosting,0.9905,0.0017,0.9905,0.0018,0.9905,0.0017,0.9904,0.0018,0.9809,0.0035,0.9992,0.0002,0.9911,0.0021,0.9914,0.0015,0.8912
RandomForest,0.9893,0.0009,0.9892,0.0009,0.9893,0.0009,0.9889,0.001,0.9785,0.0017,0.9987,0.0003,0.9866,0.002,0.9936,0.0008,0.8901
AdaBoost,0.9887,0.0013,0.9886,0.0013,0.9887,0.0013,0.9885,0.0015,0.9772,0.0027,0.999,0.0002,0.9889,0.0031,0.9901,0.0013,0.8896
SVM_Linear,0.9878,0.0011,0.9877,0.0011,0.9878,0.0011,0.988,0.0011,0.9754,0.0022,0.9979,0.0007,0.992,0.0018,0.9852,0.0019,0.8889
LogisticRegression,0.9852,0.0009,0.9851,0.0009,0.9852,0.0009,0.9855,0.0008,0.9703,0.0017,0.9978,0.0006,0.9905,0.0015,0.982,0.0025,0.8866
MLP,0.9828,0.0015,0.9827,0.0015,0.9828,0.0015,0.983,0.0015,0.9654,0.0031,0.9982,0.0006,0.9875,0.0022,0.9805,0.0027,0.8844
DecisionTree,0.9823,0.0026,0.9822,0.0026,0.9823,0.0026,0.9823,0.0026,0.9644,0.0052,0.9823,0.0026,0.9846,0.0026,0.9826,0.0034,0.8838
ExtraTrees,0.9633,0.0034,0.9631,0.0035,0.9633,0.0035,0.963,0.0035,0.9262,0.007,0.992,0.0007,0.9653,0.0045,0.9669,0.0034,0.8664
GaussianNB,0.8939,0.0034,0.8938,0.0034,0.8941,0.0034,0.8969,0.0028,0.7915,0.0056,0.9633,0.0021,0.9387,0.0081,0.8596,0.0134,0.805
kNN,0.6442,0.0081,0.6305,0.009,0.6249,0.0092,0.6634,0.0078,0.3676,0.0159,0.7577,0.0087,0.8418,0.0104,0.419,0.0112,0.5764
