keyword,Safe,Jailbreak
ignore,0.0,0.054597156398104266
act as,0.0,0.18445497630331753
bypass,0.0,0.015924170616113745
roleplay,0.0,0.05649289099526066
pretend,0.0,0.07298578199052133
forget,0.0,0.044928909952606635
disregard,0.0,0.011184834123222749
override,0.0,0.0049289099526066355
you are now,0.0,0.03298578199052133
DAN,0.0,0.0
jailbreak,0.0,0.023507109004739336
do anything now,0.0,0.02767772511848341
no restrictions,0.0,0.011374407582938388
without restrictions,0.0,0.002843601895734597
as an ai,0.0,0.03355450236966825
fictional,0.0,0.04265402843601896
hypothetically,0.0,0.0049289099526066355
